SKU,Nombre actual,Categoria,Precio regular,Precio activo,Descripcion comercial (Oferta irresistible),Beneficio principal,Caracteristicas / ficha tecnica,Tipo de producto,Estado,Stock,Notas,,,,,
,,,,,,,,,,,,,,,,
dp-strapon,DILDO STRAP ON,DILDOS,400,400,DILDO STRAPON. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Control total del ritmo,Material: TPE. Tamaño: 23.5 x 3.5 cm. Color sujeto a existencia.,DILDOS,Activo,1,,,,,, 
dp-arnesh,ARNES CON DILDO,DILDOS,650,650,"DILDO ARNESH. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Placer doble con control vibratorio,Material: TPE + Polyester. Dildo hueco. 1 vibración. Incluye 3 baterías AG13. Medidas: Dildo 18.5 x 4.1 cm.,DILDOS,Activo,0,,,,,,
dp-34cm,DOBLE CABEZA,DILDOS,250,250,DILDO 34CM. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Placer doble y simultáneo,"Dildo de doble cabeza. 34 cm por 2 cm. Diseño 'Double-Ended'. Flexible, suave, resistente al agua y no tóxico. Disponible en varios colores.",DILDOS,Activo,1,,,,,,
dp-transparente18,DILDO TRANSPARENTE,DILDOS,250,250,"DILDO TRANSPARENTE18. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Penetración firme con control total,Dildo transparente. Medidas: 5.5 x 5.5 x 18 cm. Material: TPE. Color sujeto a disponibilidad.,DILDOS,Activo,0,,,,,,
dp-mrbig,DILDO MR. BIG NATURAL,DILDOS,650,650,"DILDO MRBIG. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Sensación de plenitud intensa,"Dildo nacional tipo realista con testículos. Suave y flexible. Copa de succión compatible con arnés. Libre de ftalatos. Color: natural. Medidas: 22.5 cm largo, 5 cm ancho, 17 cm insertable.",DILDOS,Activo,0,,,,,,
dp-bicolor,DILDO BICOLOR,DILDOS,380,380,DILDO BICOLOR. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Control firme y versátil,Dildo bicolor con copa de succión fuerte (se adhiere a superficie plana). Hecho de material libre de ftalatos. Forma y textura realista. Compatible con arnés. Material suave. Medidas: 18 cm por 3. Disponible en diferentes colores.,DILDOS,Activo,0,,,,,,
dp-cristal3,DILDO JUMBO DE CRISTAL,DILDOS,750,350,DILDO CRISTAL3. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Doble estimulación intensa y controlada,Dildo de material de cristal (Grado quirúrgico). Resistente a temperaturas. Texturizado. Incluye bolsita para guardarlo. Medidas: 18 cm largo x 4 cm ancho.,DILDOS,Activo,1,,,,,,
dp-jelly,DILDO 21 CM JELLY,DILDOS,370,370,"DILDO JELLY. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación suave y precisa,Material: TPE + ABS / TPE. Medida: 21 cm. Color sujeto a existencia.,DILDOS,Activo,0,,,,,,
dp-fluorecente,DILDO FLUORESCENTE,DILDOS,380,380,DILDO FLUORECENTE. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Estimulación versátil y controlada,Dildo arcoíris con efecto fluorescente. Tiene copa de succión. Medidas: 19 cm por 3.3 cm.,DILDOS,Activo,1,,,,,,
